type,name,buoyancy_kg,weight_kg,length_m,width_m,diameter_m,drag,material,comment
miscs,LISST_200X (UWA),-4,None,0.2,0.4,0,1.3,1,
miscs,Empty (UWA),-1,None,0.001,0.001,0,1.3,1,
miscs,Zn Anode (UWA),-0.05,None,0.2,0.025,0,1.3,5,
miscs,Suspended Weight,-80,80,0.5,0.2,0,1.3,1,
miscs,SBE37 SMP plastic CTP (UWA),None,None,0.56,0.1,0,1.3,1,
miscs,SBE37 SMP titanium CTP (UWA),None,None,0.56,0.1,0,1.3,1,
miscs,SBE37 titanium CT (UWA),None,None,0.56,0.1,0,1.3,1,
miscs,SBE39 int. TP (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE39 ext. TP (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE39 sync. T (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE39 ext. T (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE39 plus TP (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,RBRquartz TP,-0.25,None,0.31,0.11,0,1.3,5,
miscs,Lander frame,None,None,2.6,None,None,None,None,
miscs,Ecotriplet (UWA),-0.02,None,0.127,0.63,0,1.3,5,
miscs,NTUS (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,Swivel (UWA),-4,4,0.2,0.06,0,1.3,1,
miscs,uSquid,None,None,0.2,None,None,None,1,
miscs,FP07,None,None,0.05,None,None,None,1,
miscs,Sercel,None,None,0.05,None,None,None,1,
miscs,Xeos,-1.264,None,0.28,None,0.05,None,1,
miscs,RBR duet (UWA),-0.25,None,0.31,0.11,0,1.3,5,
wires,1/4 Kevlar,-0.009,0.009,1,0.007,0,1.3,6,
wires,5/16 Kevlar,-0.014,0.014,1,0.008,0,1.3,6,
wires,3/8 Kevlar,-0.023,0.023,1,0.009,0,1.3,6,
wires,7/16 Kevlar,-0.026,0.026,1,0.011,0,1.3,6,
wires,1/2 Kevlar,-0.032,0.032,1,0.013,0,1.3,6,
wires,9/16 Kevlar,-0.043,0.043,1,0.014,0,1.3,6,
